seed,variant,step,ego_x,ego_y,ego_theta,obs_x,obs_y,obs_mode,collision,missed_mode,clearance
200042,OT,86,20.0950,0.0235,2.0262,-2.9873,-4.7897,turn_right,0,0,23.5788
200042,OT,87,20.0908,0.0312,2.1062,-3.1309,-4.8770,turn_right,0,0,23.7348
200042,OT,88,20.0862,0.0384,2.1862,-3.2770,-4.9599,turn_right,0,0,23.8918
200042,OT,89,20.0810,0.0451,2.2662,-3.4254,-5.0385,turn_right,0,0,24.0498
200042,OT,90,20.0754,0.0513,2.3462,-3.5762,-5.1126,turn_right,0,0,24.2088
200042,OT,91,20.0695,0.0569,2.4262,-3.7293,-5.1824,constant_velocity,0,0,24.3687
200042,OT,92,20.0632,0.0619,2.5062,-3.8825,-5.2521,decelerating,0,0,24.5283
200042,OT,93,20.0567,0.0663,2.5862,-4.0358,-5.3217,decelerating,0,0,24.6876
200042,OT,94,20.0499,0.0702,2.6662,-4.1940,-5.3964,decelerating,0,0,24.8526
200042,OT,95,20.0430,0.0734,2.7462,-4.3570,-5.4761,decelerating,0,0,25.0231
200042,OT,96,20.0360,0.0760,2.8262,-4.5249,-5.5610,turn_left,0,0,25.1995
200042,OT,97,20.0289,0.0780,2.9062,-4.6953,-5.6560,turn_left,0,0,25.3804
200042,OT,98,20.0218,0.0794,2.9862,-4.8628,-5.7560,turn_left,0,0,25.5596
200042,OT,99,20.0147,0.0802,3.0662,-5.0272,-5.8612,turn_left,0,0,25.7371
200042,OT,100,20.0076,0.0805,3.1462,-5.1885,-5.9713,turn_left,0,0,25.9127
200042,OT,101,20.0006,0.0802,3.2262,-5.3462,-6.0863,turn_left,0,0,26.0862
200042,OT,102,19.9938,0.0793,3.3062,-5.5003,-6.2061,turn_left,0,0,26.2575
200042,OT,103,19.9871,0.0779,3.3862,-5.6508,-6.3303,turn_left,0,0,26.4266
200042,OT,104,19.9807,0.0760,3.4662,-5.7974,-6.4589,turn_left,0,0,26.5936
200042,OT,105,19.9744,0.0737,3.5462,-5.9402,-6.5918,turn_left,0,0,26.7581
200042,OT,106,19.9685,0.0708,3.6262,-6.0787,-6.7290,turn_right,0,1,26.9201
