environment,variant,seed,collision,missed_mode_rate,progress,min_clearance,mean_solve_ms,p99_solve_ms
Narrow,Base,160019,0,0.1867,15.0674,1.1528,1.4851,7.6364
Narrow,Base,160020,0,0.1933,15.0563,1.1284,1.0774,4.7623
Narrow,Base,160021,0,0.2733,15.0510,1.0725,1.1709,4.3680
Narrow,Base,160022,0,0.2000,15.0448,1.0586,1.4985,4.6988
Narrow,Base,160023,0,0.3200,15.0347,1.2311,2.4863,9.1795
Narrow,Base,160024,0,0.2867,15.0557,0.9849,1.4043,9.0365
Narrow,Base,160025,0,0.3000,15.0583,1.1191,1.2489,4.3838
Narrow,Base,160026,0,0.3533,15.0538,1.1302,1.1845,4.1860
Narrow,Base,160027,0,0.3733,15.0595,1.1518,1.1408,5.5875
Narrow,Base,160028,0,0.2267,15.0586,1.1134,1.2583,4.6831
Narrow,Base,160029,0,0.2133,15.0581,0.9652,1.7518,6.5274
Narrow,Base,160030,0,0.2267,15.0692,1.1060,1.4284,7.9029
Narrow,Base,160031,0,0.3733,15.0706,1.1357,1.5168,9.0327
Narrow,Base,160032,0,0.1800,15.0532,1.2859,2.7939,9.3373
Narrow,Base,160033,0,0.3200,15.0777,1.5871,1.9358,9.0780
Narrow,Base,160034,0,0.3000,15.0700,1.0588,1.3156,5.3268
Narrow,Base,160035,0,0.2933,0.1349,1.1927,1.3146,4.0464
Narrow,Base,160036,0,0.2533,15.0650,1.1137,1.7118,8.9278
Narrow,Base,160037,0,0.1867,15.0672,1.0910,1.3511,4.7683
Narrow,Base,160038,0,0.3133,15.0647,1.0811,1.4000,8.1608
Narrow,Base,160039,0,0.2667,15.0524,1.1119,1.2494,4.8339
Narrow,Base,160040,0,0.2267,15.0623,1.0672,1.5805,5.5649
Narrow,Base,160041,0,0.3467,15.0696,1.1431,1.2109,2.9484
Narrow,Base,160042,0,0.2000,15.0709,1.1456,2.3910,12.2319
Narrow,Base,160043,0,0.2200,15.0669,1.1288,1.5981,10.0198
Narrow,Base,160044,0,0.2467,15.0524,1.1057,1.3196,5.1216
Narrow,Base,160045,0,0.3000,15.0689,1.0601,1.4912,6.3155
Narrow,Base,160046,0,0.2600,15.0689,1.0869,1.3098,7.0449
Narrow,Base,160047,0,0.4067,15.0645,1.0747,1.1955,4.5307
Narrow,Base,160048,0,0.2533,15.0696,1.1041,1.3937,5.6334
Narrow,Base,160049,0,0.2733,15.0579,1.0910,1.3937,7.7074
Narrow,Base,160050,0,0.2400,15.1001,1.1526,2.4227,8.9721
Narrow,Base,160051,0,0.2800,15.0692,1.0314,1.4937,6.4877
Narrow,Base,160052,0,0.3667,15.0574,1.0639,1.3029,4.9196
Narrow,Base,160053,0,0.2667,15.0590,1.1236,1.4916,7.1976
Narrow,Base,160054,0,0.2467,15.0579,1.0759,1.5254,8.0525
Narrow,Base,160055,0,0.2733,15.0596,1.0994,1.6431,5.6967
Narrow,Base,160056,0,0.3933,15.0580,1.0934,1.1956,4.9520
Narrow,Base,160057,0,0.2867,15.0528,1.1470,1.4008,5.5033
Narrow,Base,160058,0,0.1800,15.0596,1.0995,1.1917,5.3753
Narrow,Base,160059,0,0.2467,15.0660,1.0431,1.4620,5.4275
