num_scenarios,dimension,horizon,epsilon_effective,epsilon_required,beta
230,60,10,0.541762,0.050000,0.100000
235,60,10,0.530235,0.050000,0.100000
240,60,10,0.519188,0.050000,0.100000
245,60,10,0.508593,0.050000,0.100000
250,60,10,0.498421,0.050000,0.100000
255,60,10,0.488648,0.050000,0.100000
260,60,10,0.479251,0.050000,0.100000
265,60,10,0.470208,0.050000,0.100000
270,60,10,0.461501,0.050000,0.100000
275,60,10,0.453110,0.050000,0.100000
280,60,10,0.445018,0.050000,0.100000
285,60,10,0.437211,0.050000,0.100000
290,60,10,0.429673,0.050000,0.100000
295,60,10,0.422390,0.050000,0.100000
300,60,10,0.415351,0.050000,0.100000
305,60,10,0.408542,0.050000,0.100000
310,60,10,0.401952,0.050000,0.100000
315,60,10,0.395572,0.050000,0.100000
320,60,10,0.389391,0.050000,0.100000
325,60,10,0.383401,0.050000,0.100000
330,60,10,0.377591,0.050000,0.100000
335,60,10,0.371956,0.050000,0.100000
340,60,10,0.366486,0.050000,0.100000
345,60,10,0.361174,0.050000,0.100000
350,60,10,0.356015,0.050000,0.100000
355,60,10,0.351000,0.050000,0.100000
360,60,10,0.346125,0.050000,0.100000
365,60,10,0.341384,0.050000,0.100000
370,60,10,0.336771,0.050000,0.100000
375,60,10,0.332280,0.050000,0.100000
380,60,10,0.327908,0.050000,0.100000
385,60,10,0.323650,0.050000,0.100000
390,60,10,0.319500,0.050000,0.100000
395,60,10,0.315456,0.050000,0.100000
400,60,10,0.311513,0.050000,0.100000
405,60,10,0.307667,0.050000,0.100000
410,60,10,0.303915,0.050000,0.100000
415,60,10,0.300253,0.050000,0.100000
420,60,10,0.296679,0.050000,0.100000
425,60,10,0.293189,0.050000,0.100000
430,60,10,0.289779,0.050000,0.100000
435,60,10,0.286449,0.050000,0.100000
440,60,10,0.283194,0.050000,0.100000
445,60,10,0.280012,0.050000,0.100000
450,60,10,0.276900,0.050000,0.100000
455,60,10,0.273858,0.050000,0.100000
460,60,10,0.270881,0.050000,0.100000
465,60,10,0.267968,0.050000,0.100000
470,60,10,0.265117,0.050000,0.100000
475,60,10,0.262327,0.050000,0.100000
480,60,10,0.259594,0.050000,0.100000
485,60,10,0.256918,0.050000,0.100000
490,60,10,0.254296,0.050000,0.100000
495,60,10,0.251728,0.050000,0.100000
500,60,10,0.249210,0.050000,0.100000
