stage,scenario_id,obs_id,timestep,x,y,probability
after_dominance,26,1,0,6.0000,-1.5000,0.6944
after_dominance,26,1,2,5.9247,-1.4713,0.6944
after_dominance,26,1,4,5.8422,-1.4365,0.6944
after_dominance,26,1,6,5.7572,-1.3845,0.6944
after_dominance,26,1,8,5.6568,-1.3324,0.6944
after_dominance,26,1,10,5.5500,-1.2803,0.6944
after_dominance,27,0,0,4.0000,1.0000,0.6944
after_dominance,27,0,2,3.8831,1.0045,0.6944
after_dominance,27,0,4,3.7386,1.0135,0.6944
after_dominance,27,0,6,3.5872,1.0216,0.6944
after_dominance,27,0,8,3.4353,1.0236,0.6944
after_dominance,27,0,10,3.2853,1.0259,0.6944
after_dominance,27,1,0,6.0000,-1.5000,0.6944
after_dominance,27,1,2,5.9416,-1.4525,0.6944
after_dominance,27,1,4,5.8752,-1.3940,0.6944
after_dominance,27,1,6,5.7865,-1.3337,0.6944
after_dominance,27,1,8,5.6979,-1.2736,0.6944
after_dominance,27,1,10,5.6100,-1.2164,0.6944
after_dominance,29,0,0,4.0000,1.0000,0.6944
after_dominance,29,0,2,3.8929,1.0015,0.6944
after_dominance,29,0,4,3.7798,1.0006,0.6944
after_dominance,29,0,6,3.6612,1.0018,0.6944
after_dominance,29,0,8,3.5509,1.0059,0.6944
after_dominance,29,0,10,3.4451,1.0216,0.6944
after_dominance,29,1,0,6.0000,-1.5000,0.6944
after_dominance,29,1,2,5.9288,-1.4625,0.6944
after_dominance,29,1,4,5.8642,-1.4266,0.6944
after_dominance,29,1,6,5.7999,-1.3971,0.6944
after_dominance,29,1,8,5.7264,-1.3703,0.6944
after_dominance,29,1,10,5.6346,-1.3533,0.6944
after_inactive,5,0,0,4.0000,1.0000,0.6944
after_inactive,5,0,2,3.9020,0.9992,0.6944
after_inactive,5,0,4,3.7928,0.9882,0.6944
after_inactive,5,0,6,3.6745,0.9679,0.6944
after_inactive,5,0,8,3.5514,0.9301,0.6944
after_inactive,5,0,10,3.4190,0.8906,0.6944
after_inactive,5,1,0,6.0000,-1.5000,0.6944
after_inactive,5,1,2,5.9314,-1.4617,0.6944
after_inactive,5,1,4,5.8395,-1.4106,0.6944
after_inactive,5,1,6,5.7333,-1.3553,0.6944
after_inactive,5,1,8,5.6378,-1.3241,0.6944
after_inactive,5,1,10,5.5477,-1.3093,0.6944
after_inactive,9,0,0,4.0000,1.0000,0.6944
after_inactive,9,0,2,3.8872,1.0025,0.6944
after_inactive,9,0,4,3.7385,1.0187,0.6944
after_inactive,9,0,6,3.5790,1.0388,0.6944
after_inactive,9,0,8,3.4090,1.0671,0.6944
after_inactive,9,0,10,3.2305,1.0979,0.6944
after_inactive,9,1,0,6.0000,-1.5000,0.6944
after_inactive,9,1,2,5.9262,-1.4705,0.6944
after_inactive,9,1,4,5.8441,-1.4735,0.6944
after_inactive,9,1,6,5.7745,-1.5038,0.6944
after_inactive,9,1,8,5.7186,-1.5469,0.6944
after_inactive,9,1,10,5.6611,-1.5844,0.6944
after_inactive,27,0,0,4.0000,1.0000,0.6944
after_inactive,27,0,2,3.8831,1.0045,0.6944
after_inactive,27,0,4,3.7386,1.0135,0.6944
after_inactive,27,0,6,3.5872,1.0216,0.6944
after_inactive,27,0,8,3.4353,1.0236,0.6944
after_inactive,27,0,10,3.2853,1.0259,0.6944
after_inactive,27,1,0,6.0000,-1.5000,0.6944
after_inactive,27,1,2,5.9416,-1.4525,0.6944
after_inactive,27,1,4,5.8752,-1.3940,0.6944
after_inactive,27,1,6,5.7865,-1.3337,0.6944
after_inactive,27,1,8,5.6979,-1.2736,0.6944
after_inactive,27,1,10,5.6100,-1.2164,0.6944
